FID Sex Sample_ID POP_CODE POP_NAME SuperPOP_CODE
HG01097 male SAME122924 PUR Puerto AMR
HG01098 female SAME123490 PUR Puerto AMR
HG01101 male SAME123677 PUR Puerto AMR
HG01102 female SAME123678 PUR Puerto AMR
HG01104 male SAME123672 PUR Puerto AMR
HG01105 female SAME123673 PUR Puerto AMR
HG01107 male SAME123675 PUR Puerto AMR
HG01108 female SAME123103 PUR Puerto AMR
HG01110 male SAME123487 PUR Puerto AMR
HG01111 female SAME123486 PUR Puerto AMR
HG01112 male SAME123485 CLM Colombian AMR
HG01113 female SAME123484 CLM Colombian AMR
HG01119 female SAME1840402 CLM Colombian AMR
HG01121 male SAME1840127 CLM Colombian AMR
HG01122 female SAME1840203 CLM Colombian AMR
HG01124 male SAME124053 CLM Colombian AMR
HG01125 female SAME124054 CLM Colombian AMR
HG01130 male SAME1839995 CLM Colombian AMR
HG01131 female SAME1839985 CLM Colombian AMR
HG01133 male SAME123884 CLM Colombian AMR
HG01134 female SAME123887 CLM Colombian AMR
HG01136 male SAME123889 CLM Colombian AMR
HG01137 female SAME123888 CLM Colombian AMR
HG01139 male SAME123876 CLM Colombian AMR
HG01140 female SAME124422 CLM Colombian AMR
HG01142 male SAME1839731 CLM Colombian AMR
HG01148 male SAME124424 CLM Colombian AMR
HG01149 female SAME124425 CLM Colombian AMR
HG01161 male SAME1839615 PUR Puerto AMR
HG01162 female SAME1839707 PUR Puerto AMR
HG01164 male SAME1839690 PUR Puerto AMR
HG01167 male SAME124798 PUR Puerto AMR
HG01168 female SAME124796 PUR Puerto AMR
HG01170 male SAME124623 PUR Puerto AMR
HG01171 female SAME124622 PUR Puerto AMR
HG01173 male SAME124624 PUR Puerto AMR
HG01174 female SAME124619 PUR Puerto AMR
HG01176 male SAME124621 PUR Puerto AMR
HG01177 female SAME124620 PUR Puerto AMR
HG01182 male SAME124789 PUR Puerto AMR
HG01183 female SAME124792 PUR Puerto AMR
HG01187 male SAME124783 PUR Puerto AMR
HG01188 female SAME124927 PUR Puerto AMR
HG01190 male SAME123654 PUR Puerto AMR
HG01191 female SAME123651 PUR Puerto AMR
HG01197 male SAME124237 PUR Puerto AMR
HG01198 female SAME125228 PUR Puerto AMR
HG01200 male SAME1840109 PUR Puerto AMR
HG01204 male SAME124297 PUR Puerto AMR
HG01205 female SAME124296 PUR Puerto AMR
HG01241 male SAME125065 PUR Puerto AMR
HG01242 female SAME125064 PUR Puerto AMR
HG01247 male SAME125067 PUR Puerto AMR
HG01248 female SAME125058 PUR Puerto AMR
HG01250 male SAME125281 CLM Colombian AMR
HG01251 female SAME125282 CLM Colombian AMR
HG01253 male SAME125284 CLM Colombian AMR
HG01254 female SAME125285 CLM Colombian AMR
HG01256 male SAME125287 CLM Colombian AMR
HG01257 female SAME125288 CLM Colombian AMR
HG01259 male SAME125280 CLM Colombian AMR
HG01260 female SAME122815 CLM Colombian AMR
HG01269 female SAME1839257 CLM Colombian AMR
HG01271 male SAME122998 CLM Colombian AMR
HG01272 female SAME122996 CLM Colombian AMR
HG01275 female SAME123002 CLM Colombian AMR
HG01277 male SAME123000 CLM Colombian AMR
HG01280 male SAME1839113 CLM Colombian AMR
HG01281 female SAME1839107 CLM Colombian AMR
HG01284 female SAME1839191 CLM Colombian AMR
HG01286 male SAME1839176 PUR Puerto AMR
HG01302 male SAME1840038 PUR Puerto AMR
HG01303 female SAME1840027 PUR Puerto AMR
HG01305 male SAME1840020 PUR Puerto AMR
HG01308 male SAME1840002 PUR Puerto AMR
HG01311 male SAME1839796 PUR Puerto AMR
HG01312 female SAME1839791 PUR Puerto AMR
HG01323 female SAME1839534 PUR Puerto AMR
HG01325 male SAME1839604 PUR Puerto AMR
HG01326 female SAME1839598 PUR Puerto AMR
HG01334 male SAME123533 GBR British EUR
HG01341 male SAME124859 CLM Colombian AMR
HG01342 female SAME124856 CLM Colombian AMR
HG01344 male SAME124862 CLM Colombian AMR
HG01345 female SAME124863 CLM Colombian AMR
HG01348 female SAME124864 CLM Colombian AMR
HG01350 male SAME124684 CLM Colombian AMR
HG01351 female SAME124683 CLM Colombian AMR
HG01353 male SAME124685 CLM Colombian AMR
HG01354 female SAME124680 CLM Colombian AMR
HG01356 male SAME124682 CLM Colombian AMR
HG01357 female SAME124681 CLM Colombian AMR
HG01359 male SAME124687 CLM Colombian AMR
HG01360 female SAME122855 CLM Colombian AMR
HG01362 male SAME1839066 CLM Colombian AMR
HG01363 female SAME1839059 CLM Colombian AMR
HG01365 male SAME124508 CLM Colombian AMR
HG01366 female SAME125265 CLM Colombian AMR
HG01369 female SAME1839124 CLM Colombian AMR
HG01372 female SAME1840339 CLM Colombian AMR
HG01374 male SAME124291 CLM Colombian AMR
HG01375 female SAME124290 CLM Colombian AMR
HG01377 male SAME124288 CLM Colombian AMR
HG01378 female SAME124076 CLM Colombian AMR
HG01383 male SAME122971 CLM Colombian AMR
HG01384 female SAME122969 CLM Colombian AMR
HG01389 male SAME122972 CLM Colombian AMR
HG01390 female SAME122805 CLM Colombian AMR
HG01392 male SAME1840234 PUR Puerto-Rican AMR
HG01393 female SAME1840222 PUR Puerto AMR
HG01395 male SAME1840207 PUR Puerto AMR
HG01396 female SAME1839954 PUR Puerto-Rican AMR
HG01398 male SAME1839950 PUR Puerto AMR
HG01402 male SAME1839873 PUR Puerto AMR
HG01403 female SAME1839867 PUR Puerto-Rican AMR
HG01405 male SAME1839863 PUR Puerto-Rican AMR
HG01412 male SAME1839619 PUR Puerto-Rican AMR
HG01413 male SAME1839612 PUR Puerto AMR
HG01414 female SAME1839703 PUR Puerto AMR
HG01431 male SAME1839260 CLM Colombian AMR
HG01432 female SAME1839256 CLM Colombian AMR
HG01435 female SAME1839239 CLM Colombian AMR
HG01437 male SAME124966 CLM Colombian AMR
HG01438 female SAME124971 CLM Colombian AMR
HG01440 male SAME123237 CLM Colombian AMR
HG01441 female SAME123236 CLM Colombian AMR
HG01443 male SAME1839032 CLM Colombian AMR
HG01444 female SAME1839026 CLM Colombian AMR
HG01447 female SAME1839099 CLM Colombian AMR
HG01455 male SAME123429 CLM Colombian AMR
HG01456 female SAME123427 CLM Colombian AMR
HG01459 female SAME1840278 CLM Colombian AMR
HG01461 male SAME122879 CLM Colombian AMR
HG01462 female SAME123539 CLM Colombian AMR
HG01464 male SAME122883 CLM Colombian AMR
HG01465 female SAME122882 CLM Colombian AMR
HG01468 female SAME1840382 CLM Colombian AMR
HG01474 female SAME1840189 CLM Colombian AMR
HG01479 male SAME1840251 CLM Colombian AMR
HG01485 male SAME1840047 CLM Colombian AMR
HG01486 female SAME1840048 CLM Colombian AMR
HG01488 male SAME123973 CLM Colombian AMR
HG01489 female SAME123972 CLM Colombian AMR
HG01491 male SAME124140 CLM Colombian AMR
HG01492 female SAME124137 CLM Colombian AMR
HG01494 male SAME124135 CLM Colombian AMR
HG01495 female SAME124136 CLM Colombian AMR
HG01497 male SAME124134 CLM Colombian AMR
HG01498 female SAME124142 CLM Colombian AMR
HG01500 male SAME124941 IBS Spanish EUR
HG01501 female SAME124942 IBS Spanish EUR
HG01503 male SAME124944 IBS Spanish EUR
HG01504 female SAME124945 IBS Spanish EUR
HG01506 male SAME124947 IBS Spanish EUR
HG01507 female SAME124948 IBS Spanish EUR
HG01509 male SAME124940 IBS Spanish EUR
HG01510 female SAME124771 IBS Spanish EUR
HG01512 male SAME124769 IBS Spanish EUR
HG01513 female SAME124768 IBS Spanish EUR
HG01515 male SAME124774 IBS Spanish EUR
HG01516 female SAME124773 IBS Spanish EUR
HG01518 male SAME124766 IBS Spanish EUR
HG01519 female SAME124765 IBS Spanish EUR
HG01521 male SAME125324 IBS Spanish EUR
HG01522 female SAME125321 IBS Spanish EUR
HG01524 male SAME125327 IBS Spanish EUR
HG01525 female SAME125328 IBS Spanish EUR
